            -541      -3	B_c-                    B_{c}^{-}                       
             543       3	B_c*+                   B_{c}^{*+}                      
            -543      -3	B_c*-                   B_{c}^{*-}                      
             545       3	B_c2*+                  B_{c2}^{*+}                     
            -545      -3	B_c2*-                  B_{c2}^{*-}                     
             551       0	eta_b                   \eta_{b}(1S)                    
             553       0	Upsilon                 \Upsilon(1S)                    
             555       0	chi_b2                  \chi_{b2}(1P)                   
             557       0	Upsilon_3(1D)           \Upsilon_{3}(1D)                
            1011       3	deuteron                deuteron                        
           -1011      -3	anti-deuteron           \bar{deuteron}                  
            1012       6	He3                     He3                             
           -1012      -6	anti-He3                \bar{He3}                       
            1021       3	tritium                 tritium                         
           -1021      -3	anti-tritium            \bar{tritium}                   
            1022       6	alpha                   \alpha                          
           -1022      -6	anti-alpha              \bar{\alpha}                    
            1101      -2	dd_0                    (dd)_{0}                        
           -1101       2	anti-dd_0               \bar{(dd)}_{0}                  
            1103      -2	dd_1                    (dd)_{1}                        
           -1103       2	anti-dd_1               \bar{(dd)}_{1}                  
            1114      -3	Delta-                  \Delta^{-}                      
           -1114       3	anti-Delta+             \bar{\Delta}^{-}                
            2101       1	ud_0                    (ud)_{0}                        
           -2101      -1	anti-ud_0               \bar{(ud)}_{0}                  
            2103       1	ud_1                    (ud)_{1}                        
           -2103      -1	anti-ud_1               \bar{(ud)}_{1}                  
            2110       0	n_diffr                 n_{diffr}                       
           -2110       0	anti-n_diffr            \bar{n}_{diffr}                 
            2112       0	n0                      n                               
           -2112       0	anti-n0                 \bar{n}                         
            2114       0	Delta0                  \Delta^{0}                      
           -2114       0	anti-Delta0             \bar{\Delta}^{0}                
            2201       4	uu_0                    (uu)_{0}                        
           -2201      -4	anti-uu_0               \bar{(uu)}_{0}                  
            2203       4	uu_1                    (uu)_{1}                        
           -2203      -4	anti-uu_1               \bar{(uu)}_{1}                  
            2210       3	p_diff+                 p_{diff}^{+}                    
           -2210      -3	anti-p_diff-            \bar{p}_{diff}^{-}              
            2212       3	p+                      p                               
           -2212      -3	anti-p-                 \bar{p}                         
            2214       3	Delta+                  \Delta^{+}                      
           -2214      -3	anti-Delta-             \bar{\Delta}^{+}                
            2224       6	Delta++                 \Delta^{++}                     
           -2224      -6	anti-Delta--            \bar{\Delta}^{++}               
            3101      -2	sd_0                    (sd)_{0}                        
           -3101       2	anti-sd_0               \bar{(sd)}_{0}                  
            3103      -2	sd_1                    (sd)_{1}                        
           -3103       2	anti-sd_1               \bar{(sd)}_{1}                  
            3112      -3	Sigma-                  \Sigma^{-}                      
           -3112       3	anti-Sigma+             \bar{\Sigma}^{+}                
            3114      -3	Sigma*-                 \Sigma^{*-}                     
           -3114       3	anti-Sigma*+            \bar{\Sigma}^{*+}               
            3122       0	Lambda0                 \Lambda                         
           -3122       0	anti-Lambda0            \bar{\Lambda}                   
            3124       0	Lambda(1520)0           \Lambda(1520)^{0}               
           -3124       0	anti-Lambda(1520)0      \bar{\Lambda}(1520)^{0}         
            3126       0	Lambda(1820)0           \Lambda(1820)^{0}               
           -3126       0	anti-Lambda(1820)0      \bar{\Lambda}(1820)^{0}         
            3201       1	su_0                    (su)_0                          
           -3201      -1	anti-su_0               \bar{(su)}_0                    
            3203       1	su_1                    (su)_{1}                        
           -3203      -1	anti-su_1               \bar{(su)}_{1}                  
            3212       0	Sigma0                  \Sigma^{0}                      
           -3212       0	anti-Sigma0             \bar{\Sigma}^{0}                
            3214       0	Sigma*0                 \Sigma^{*0}                     
           -3214       0	anti-Sigma*0            \bar{\Sigma}^{*0}               
            3216       0	Sigma(1775)0            \Sigma(1775)^{0}                
           -3216       0	anti-Sigma(1775)0       \bar{\Sigma}(1775)^{0}          
            3222       3	Sigma+                  \Sigma^{+}                      
           -3222      -3	anti-Sigma-             \bar{\Sigma}^{-}                
            3224       3	Sigma*+                 \Sigma^{*+}                     
           -3224      -3	anti-Sigma*-            \bar{\Sigma}^{*-}               
            3301      -2	ss_0                    (ss)_{0}                        
           -3301       2	anti-ss_0               \bar{(ss)}_{0}                  
            3303      -2	ss_1                    (ss)_{1}                        
           -3303       2	anti-ss_1               \bar{(ss)}_{1}                  
            3312      -3	Xi-                     \Xi^{-}                         
           -3312       3	anti-Xi+                \bar{\Xi}^{+}                   
            3314      -3	Xi*-                    \Xi^{*-}                        
           -3314       3	anti-Xi*+               \bar{\Xi}^{*+}                  
            3322       0	Xi0                     \Xi^{0}                         
           -3322       0	anti-Xi0                \bar{\Xi}^{0}                   
            3324       0	Xi*0                    \Xi^{*0}                        
           -3324       0	anti-Xi*0               \bar{\Xi}^{*0}                  
            3334      -3	Omega-                  \Omega^{-}                      
           -3334       3	anti-Omega+             \bar{\Omega}^{+}                
            4101       1	cd_0                    (cd)_{0}                        
